id;nome;telefone;email
1;yum hassle;once;Heitor.Silva50@hotmail.com
2;notwithstanding;round;MariaAlice52@yahoo.com
3;past lest unabashedly;if till;Miguel.Batista40@bol.com.br
4;cute midst far-flung;huzzah irritably;Laura_Moreira@gmail.com
5;psst once dishearten;jaggedly;MariaHelena.Moraes@yahoo.com
6;duh croon healthily;blissfully always wherever;Eloa55@live.com
7;loudly;exactly stage;Lorenzo_Pereira14@live.com
8;yin hunt strong;adrenalin comb fixed;Murilo_Oliveira@bol.com.br
9;warmhearted even;yippee butter;Alexandre.Xavier47@bol.com.br
10;cavernous;miskey excitable oh;Felicia_Xavier99@live.com
