id;nome;data_de_nascimento;cpf;endereco;telefone;email
1;nor;2024-11-03;structure partial;chow brandish;record failing mmm;Washington_Barros@bol.com.br
2;finally misreport harmful;2024-11-03;heartache;until whereas;intermix;Marina.Oliveira72@bol.com.br
3;tune excitedly rim;2024-11-03;ultimately reckon whether;apropos;precious until;Gael57@gmail.com
4;hence;2024-11-03;fatally;um athletic collaboration;inasmuch ouch;Fabricia51@live.com
5;bliss minor zowie;2024-11-03;although;incidentally hearten;pop;Cecilia9@hotmail.com
6;ouch gah hm;2024-11-03;wilt queasily until;and;hm materialise;Rafaela_Moraes@hotmail.com
7;gah brr tame;2024-11-03;whoever while sheepishly;aha minor;velvety;Yago.Costa@gmail.com
8;upbeat between sans;2024-11-03;alliance;tiny oof;replicate warmly;Miguel.Franco30@bol.com.br
9;ick;2024-11-02;boohoo yowza under;intrigue;into;PedroHenrique52@hotmail.com
10;onto blah reflecting;2024-11-03;reward;uh-huh;fully smoke;Rafael43@bol.com.br
