id;nome;especializacao;telefone;email
1;subtle truly bell;handle;aha quiet gleefully;Breno_Pereira@bol.com.br
2;while deprave as;aw;whether;Karla_Moraes@yahoo.com
3;next;amongst;pace construe of;Henrique_Pereira36@live.com
4;bah and;gadzooks usefully;CD;Fabio_Costa@bol.com.br
5;interchange via yuck;precedent thankfully readies;needily inspect once;Rebeca20@gmail.com
6;calculus indeed;hose impassioned valiantly;realistic;DaviLucca_Carvalho@yahoo.com
7;mortally freight;amongst;neglected;Vitoria95@hotmail.com
8;sustenance regarding ick;guest clamor;boohoo yowza;Sophia.Macedo@hotmail.com
9;typeface wherever;hearten;overproduce;Larissa71@yahoo.com
10;given without;from zowie;official that;Victor15@hotmail.com
